iter	Passed	Remaining
737	8386	2977
738	8396	2965
739	8406	2953
740	8419	2942
741	8431	2931
742	8440	2919
743	8453	2908
744	8464	2897
745	8473	2885
746	8484	2873
747	8494	2861
748	8505	2850
749	8516	2838
750	8530	2828
751	8540	2816
752	8551	2805
753	8564	2794
754	8577	2783
755	8588	2772
756	8600	2760
757	8612	2749
758	8625	2738
759	8637	2727
760	8649	2716
761	8658	2704
762	8669	2693
763	8681	2681
764	8692	2670
765	8703	2658
766	8715	2647
767	8724	2635
768	8736	2624
769	8746	2612
770	8755	2600
771	8768	2589
772	8781	2578
773	8793	2567
774	8806	2556
775	8817	2545
776	8830	2534
777	8840	2522
778	8852	2511
779	8863	2499
780	8874	2488
781	8886	2477
782	8896	2465
783	8907	2454
784	8918	2442
785	8929	2431
786	8943	2420
787	8952	2408
788	8964	2397
789	8977	2386
790	8989	2375
791	8999	2363
792	9011	2352
793	9022	2340
794	9031	2328
795	9041	2317
796	9052	2305
797	9064	2294
798	9079	2284
799	9094	2273
800	9107	2262
801	9117	2251
802	9126	2239
803	9138	2227
804	9151	2216
805	9164	2205
806	9175	2194
807	9189	2183
808	9204	2173
809	9219	2162
810	9230	2151
811	9240	2139
812	9251	2127
813	9260	2116
814	9270	2104
815	9280	2092
816	9292	2081
817	9303	2069
818	9313	2058
819	9323	2046
820	9334	2035
821	9345	2023
822	9356	2012
823	9370	2001
824	9382	1990
825	9393	1978
826	9402	1966
827	9413	1955
828	9424	1943
829	9436	1932
830	9448	1921
831	9461	1910
832	9474	1899
833	9485	1888
834	9495	1876
835	9507	1865
836	9521	1854
837	9531	1842
838	9540	1830
839	9553	1819
840	9564	1808
841	9575	1796
842	9588	1785
843	9600	1774
844	9612	1763
845	9625	1752
846	9635	1740
847	9648	1729
848	9658	1717
849	9671	1706
850	9681	1695
851	9692	1683
852	9705	1672
853	9715	1661
854	9726	1649
855	9736	1637
856	9746	1626
857	9756	1614
858	9768	1603
859	9779	1591
860	9788	1580
861	9801	1569
862	9812	1557
863	9824	1546
864	9836	1535
865	9847	1523
866	9858	1512
867	9870	1501
868	9882	1489
869	9895	1478
870	9906	1467
871	9918	1455
872	9927	1444
873	9937	1432
874	9946	1420
875	9956	1409
876	9968	1398
877	9979	1386
878	9990	1375
879	10002	1363
880	10012	1352
881	10021	1340
882	10034	1329
883	10046	1318
884	10057	1306
885	10066	1295
886	10077	1283
887	10089	1272
888	10102	1261
889	10111	1249
890	10122	1238
891	10132	1226
892	10141	1215
893	10153	1203
894	10164	1192
895	10175	1181
896	10185	1169
897	10196	1158
898	10205	1146
899	10217	1135
900	10230	1124
901	10243	1112
902	10255	1101
903	10267	1090
904	10280	1079
905	10291	1067
906	10303	1056
907	10315	1045
908	10326	1033
909	10337	1022
910	10349	1011
911	10358	999
912	10369	988
913	10380	976
914	10389	965
915	10400	953
916	10411	942
917	10422	930
918	10434	919
919	10444	908
920	10453	896
921	10466	885
922	10484	874
923	10502	863
924	10519	852
925	10537	842
926	10553	831
927	10569	820
928	10583	808
929	10598	797
930	10614	786
931	10630	775
932	10645	764
933	10657	753
934	10666	741
935	10677	730
936	10686	718
937	10696	707
938	10709	695
939	10721	684
940	10730	672
941	10742	661
942	10754	650
943	10763	638
944	10774	627
945	10785	615
946	10796	604
947	10806	592
948	10816	581
949	10827	569
950	10838	558
951	10848	546
952	10860	535
953	10873	524
954	10883	512
955	10894	501
956	10907	490
957	10916	478
958	10928	467
959	10941	455
960	10953	444
961	10964	433
962	10974	421
963	10986	410
964	10995	398
965	11006	387
966	11017	375
967	11026	364
968	11038	353
969	11049	341
970	11060	330
971	11069	318
972	11083	307
973	11093	296
974	11105	284
975	11117	273
976	11127	261
977	11140	250
978	11152	239
979	11164	227
980	11176	216
981	11186	205
982	11196	193
983	11206	182
984	11217	170
985	11228	159
986	11239	148
987	11250	136
988	11261	125
989	11272	113
990	11283	102
991	11296	91
992	11309	79
993	11323	68
994	11335	56
995	11347	45
996	11360	34
997	11373	22
998	11386	11
999	11397	0
